Sample	Chr	CopyNumber	SegmentSize	Dist2Centromere	SegVal	LOH	SizeDiploidSeg	ChangepointCN	Dist2NearestCNV	GCcontentSeg
TCGA-02-0001	1	2.75	56659405.0	23625629.75	0.04750000000000001	0.25	248547.0	3.0	5631375.75	0.48750000000000004
TCGA-02-0001	2	2.909090909090909	22096482.636363637	31222316.09090909	0.3	0.18181818181818182	0.0	10.0	517.8181818181819	0.46636363636363637
TCGA-02-0001	3	2.2	39566042.2	31440774.2	-0.10400000000000001	0.4	0.0	4.0	1181.2	0.46399999999999997
TCGA-02-0001	4	1.6666666666666667	63671385.333333336	12037029.333333334	-0.7833333333333333	0.3333333333333333	63665100.0	2.0	644.0	0.33
TCGA-02-0001	5	2.0	12910911.214285715	47436368.35714286	-0.25214285714285717	0.42857142857142855	12139272.07142857	13.0	822.4285714285714	0.39571428571428574
TCGA-02-0001	6	2.0	85449488.5	30692258.0	-0.22	0.0	85449488.5	1.0	2367.0	0.49
TCGA-02-0001	7	4.166666666666667	26509943.166666668	30964373.333333332	0.815	0.0	0.0	5.0	2811.5	0.4383333333333333
TCGA-02-0001	8	1.0	48752089.666666664	2622442.0	-1.08	1.0	0.0	2.0	3752.3333333333335	0.49
TCGA-02-0001	9	2.0	20439258.666666668	16742912.833333334	-1.7416666666666665	0.5	951960.1666666666	5.0	3067496.1666666665	0.5
TCGA-02-0001	10	2.0	135433945.0	0.0	-0.16	1.0	135433945.0	0.0	inf	0.51
TCGA-02-0001	11	2.3333333333333335	44914981.0	1463001.6666666667	-0.033333333333333326	0.0	42406658.333333336	2.0	418.6666666666667	0.53
TCGA-02-0001	12	2.0	44541049.0	55833901.0	-0.21666666666666665	0.3333333333333333	3836088.3333333335	2.0	1919.6666666666667	0.5433333333333333
TCGA-02-0001	13	1.5	12009273.75	34856634.375	-0.6912499999999999	0.625	6357951.75	7.0	779.25	0.36875
TCGA-02-0001	14	2.5	11033807.125	9169682.5	0.052500000000000005	0.25	8587439.0	7.0	574.625	0.47625
TCGA-02-0001	15	1.5	20612649.25	18179091.75	-0.5025	0.5	14932379.0	3.0	532.25	0.505
TCGA-02-0001	16	2.5	39523101.0	0.5	0.024999999999999994	0.0	21911876.5	1.0	11180556.0	0.58
TCGA-02-0001	17	2.0	27015568.666666668	12829395.333333334	-0.24666666666666667	1.0	27015568.666666668	2.0	846.0	0.48666666666666664
TCGA-02-0001	18	1.5	19488906.5	39460864.75	-1.01	0.5	19464216.5	3.0	3167.5	0.255
TCGA-02-0001	19	2.0	19667262.666666668	7339721.666666667	-0.17333333333333334	0.3333333333333333	13989515.0	2.0	1751.0	0.6
TCGA-02-0001	20	1.5	15722620.0	6702060.25	-0.3075	0.5	3775409.25	3.0	1406.25	0.5650000000000001
TCGA-02-0001	21	3.0	12451111.666666666	10003022.666666666	0.48	0.0	0.0	2.0	3307.6666666666665	0.4833333333333334
TCGA-02-0001	22	1.6666666666666667	11726467.666666666	12496406.333333334	-0.37666666666666665	0.3333333333333333	11721973.333333334	2.0	1061.3333333333333	0.38666666666666666
TCGA-02-0001	23	0.8	31012483.6	20795129.0	-0.8	1.0	0.0	4.0	294.4	0.304
